Greenhouse,Experiment ID,Plant ID(s),Keep,Treatment,Start Date,Treatment Start Date,End Date,Remove Dates,Remove Date 1,Remove Date 2,Crop Type,Crop Name,Unseen by User?,Daily Check,Info
Icore,338,20789 20800 20772 20836 20802 20813,"Yes, some dates",Control,29/08/2022,,22/09/2022,"Specific dates (remove1, remove2)",19/09/2022,,Tomato,,No,Yes,"co2 =0, pesticide appliance at 19.9"
Icore,344,21058 21047 21013 21032 21035 21076 21050,"Yes, some dates",Control,18/11/2022,,28/12/2022,Span from remove1 to remove2,27/11/2022,28/11/2022,Tomato,,No,Yes,drainage 1 irrigation spider
Icore,346,21101 21135 21160 21145 21117 21146 21131,"Yes, some dates",Control,11/11/2022,,12/12/2022,Span from remove1 to remove2,27/11/2022,28/11/2022,Tomato,M82,No,Yes,
Icore,347,21170 21172,"Yes, some dates",Control,15/11/2022,,11/12/2022,Span from remove1 to remove2,27/11/2022,28/11/2022,Tomato,,No,Yes,
Icore,349,21184 21187 21185 21186,Yes,Control,19/12/2022,,12/02/2023,No,,,Tomato,M82,No,Yes,tomato in winter
Icore,354,21652,Yes,Control,14/01/2023,,05/03/2023,No,,,barley,Morex,No,Yes,
Icore,354,21662 21578 21565 21479 21514,Yes,Control,27/01/2023,,12/02/2023,No,,,barley,Morex,No,Yes,
Icore,354,21681,Yes,Control,14/01/2023,,28/02/2023,No,,,barley,sebastian,No,Yes,
Icore,356,21703 21712 21709,Yes,Control,24/01/2023,,13/02/2023,No,,,wheat,,No,Yes,not good exp took only a small part of data
Icore,356,21698 21701 21700 21710 21713 21699,Yes,Control,24/01/2023,,30/01/2023,No,,,wheat,,No,Yes,noisy exp took only a small part
Icore,366,22200 22220 22236 22227 22251 22199 22225,Yes,Control,24/04/2023,,08/05/2023,No,,,Tomato,M82,No,Yes,sand
Icore,366,22204 22232 22250 22205 22233 22231 22228 22211,Yes,Control,24/04/2023,,04/05/2023,No,,,Tomato,M82,No,Yes,soil
Icore,252,15807 15855 15823 15848,Yes,Control,22/09/2020,,05/10/2020,No,,,Tomato,,No,Yes,
Icore,393,23374 23376 23383 23375 23371,Yes,Control,26/12/2023,,01/02/2024,No,,,Tomato,MM,No,Yes,
Icore,393,23377,"Yes, some dates",Control,27/12/2023,,01/02/2024,Span from remove1 to remove2,18/01/2024,25/01/2024,Tomato,MM,No,Yes,
Icore,393, 23378 23369 23384 ,"Yes, some dates",Salt,15/12/2023,08/01/2024,01/02/2024,Span from remove1 to remove2,26/12/2023,08/01/2024,Tomato,MM,No,Yes,salt started to be 5.7 EC at 8.1.2023
Icore,393,23370 23372 23373,Yes,Salt,15/12/2023,08/01/2024,01/02/2024,No,,,Tomato,MM,No,Yes,the salt started form 8/1 and before the weight is noisy.
Icore,393,23380 23382 23381,Yes,Drought - With some irrigation (less than 100 gr),15/12/2023,25/12/2023,07/01/2024,No,,,Tomato,MM,,Yes,in the start (25.12) it was 50% transpiration and from (1.1) 10% transpiration
Icore,199,12537 12545 12394,Yes,Control,13/02/2020,,20/03/2020,No,,,wheat,Arina,No,Yes,
Lizzy,33,1145 1121,Yes,Control,30/01/2024,,04/03/2024,No,,,barley,Sebastian,No,Yes,1145 chosen one per exp (c04a)
Lizzy,33,1111 1119,Yes,Control,30/01/2024,,04/03/2024,No,,,barley,Morex,No,Yes,
Room101,37,638 646,Yes,Control,06/09/2024,,20/09/2024,No,,,Tomato,M82,No,Yes,
Room101,37,630,Yes,Control,13/09/2024,,20/09/2024,No,,,Tomato,M82,No,Yes,
Room101,37,631 643 647,Yes,Cutting,06/09/2024,17/09/2024,24/09/2024,No,,,Tomato,M82,No,Yes,cut 3-4 gown leaves
Room101,37,629 639 642,Yes,Control,06/09/2024,,19/09/2024,No,,,Tomato,M82,No,Yes,
Room101,37,634,Yes,Control,06/09/2024,,14/09/2024,No,,,Tomato,M82,No,Yes,
Room101,37,641 645 649,Yes,Drought - With some irrigation (less than 100 gr),10/09/2024,17/09/2024,29/09/2024,No,,,Tomato,M82,No,Yes,
Room101,37,637,Yes,Drought - With some irrigation (less than 100 gr),11/09/2024,17/09/2024,29/09/2024,No,,,Tomato,M82,No,Yes,
Room101,37,628 636 640 644 648,Yes,Drought - Terminal,06/09/2024,17/09/2024,24/09/2024,No,,,Tomato,M82,No,Yes,
Room101,37,632,Yes,Drought - Terminal,12/09/2024,17/09/2024,24/09/2024,No,,,Tomato,m82,No,Yes,
Icore,277,17366,Yes,Control,23/04/2021,,02/05/2021,No,,,Tomato,Torry,No,Yes,
Icore,346,21122,"Yes, some dates",Control,17/11/2022,,12/12/2022,Span from remove1 to remove2,27/11/2022,28/11/2022,Tomato,M82,No,Yes,
Icore,393,23379,Yes,Salt,28/12/2023,08/01/2024,01/02/2024,No,,,Tomato,MM,No,Yes,the salt started form 8/1 and before the weight is noisy.
Icore,422,25012 24989 25015 25040 25055,Yes,Control,20/10/2024,,12/11/2024,No,,,I don't know, Experiment BreeTOMICs- Salvatore,No,Yes,
Icore,421,24932 24944 24942 24951 24946,Yes,Control,03/09/2024,,19/09/2024,No,,,Tomato, Experiment Rings quality test#2,No,Yes,
Icore,419,24867 24871 24898,Yes,Control,05/09/2024,,20/09/2024,No,,,I don't know,Romi,No,Yes,Limagrain [J] 
Icore,419,24879 24880 24866,Yes,Control,05/09/2024,,20/09/2024,No,,,I don't know,Sina,No,Yes,"
Experiment Limagrain [J]"
Icore,418,24770 24830 24813 24835 24773,Yes,Control,04/09/2024,,02/10/2024,No,,,I don't know,timing?,No,Yes,ICL Timing Sep24 [Table K] . Labels #Fertigation - 1.0 ( 8 )
Icore,417,24759 24749 24757,Yes,Control,30/08/2024,,04/11/2024,No,,,Cypress,,No,Yes,"
Experiment Yossi Riov's Cypress [B]"
Icore,415,24722 24696 24699 24719,Yes,Control,31/07/2024,,13/08/2024,No,,,Lettuce,,No,Yes,Ido - Labels #treatment - Control ( 16 )
Icore,414,24684 24687 24680 24678 24692,Yes,Control,11/06/2024,,30/06/2024,No,,,Mimoza,,No,Yes,Ido big Mimoza [B] (414)
Icore,412,24580 24596 24634 24612 24583,Yes,Control,07/06/2024,,26/06/2024,No,,,Basil,,No,Yes,"
iCore - ICL June 24 basil [Table K] Labels #Treatment - T1 ( 9 ) ??"
Icore,411,24554 24561 24552,Yes,Control,28/05/2024,,26/06/2024,No,,,Vine,Cabarne,No,Yes,"iCore - Eran Vines real Fixed [J] labels :#Line - Cabarne ( 10 ), #Treatment - WW (100%) ( 6 )"
Icore,411,24562 24563 24551,Yes,Control,28/05/2024,,26/06/2024,No,,,Vine,Shardone,No,Yes,"Eran Vines real Fixed [J] (411) Labels #Line - Shardone ( 10 ), #Treatment - WW (100%) ( 6 )"
Icore,407,24249 24290 24263 24291 24262,Yes,Control,27/05/2024,,03/06/2024,No,,,Tomato,M82,No,Yes,"Matar tomatos : Labels #Line - M82 ( 24 ), #Treatment - control ( 14 )"
